Date,DOY,Sample,Sub-Sample,Lat,Long_,Sample_type,Animals,DM,MM,Biomass,NDF,ADF,CP,TDN_based_ADF,TDN_based_NDF,Satellite_Images_Dates,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDWI,EVI,LAI,DVI,GCI,GEMI,SAVI,TEMP_MAX,TEMP_MIN,RAD_SOL,Rainfall,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG,Environmental Suitability Index
7/6/2022,187,1,1,-20.44671667,-54.839505,Q1,1,54.17719518,6.869018601,2943,79.7221303,52.50454594,4.632362746,47.99895872,50.53789945,7/2/2022,1325,1456,1710,2012,2427,2952,3147,3171,3272,3280,3499,2919,0.223615667,-0.033525329,0.160974011,0.464403971,1159,0.854385965,-1341990.624,0.335391145,30.7,19.2,16.17,0,21.8,4.95,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.209516304
7/6/2022,187,1,2,-20.44671667,-54.839505,Q1,1,54.1770584,6.835684302,2943,70.66384382,46.79432795,4.811976056,52.44721853,54.31611074,7/2/2022,1325,1456,1710,2012,2427,2952,3147,3171,3272,3280,3499,2919,0.223615667,-0.033525329,0.160974011,0.464403971,1159,0.854385965,-1341990.624,0.335391145,30.7,19.2,16.17,0,21.8,4.95,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,5.109516304
7/6/2022,187,2,1,-20.44699567,-54.83885633,Q4,1,52.26084274,5.125652064,2855.333333,79.33007162,50.32382929,4.644871037,49.69773698,50.70142713,7/2/2022,1358,1449,1703,2019,2435,2956,3096,3146,3303,3260,3415,2855,0.218199419,-0.016671628,0.156600858,0.448581905,1127,0.847328244,-1268877.255,0.327267447,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.506645692
7/6/2022,187,2,2,-20.44699567,-54.83885633,Q4,1,52.28579694,5.241126121,2855.333333,73.02195329,49.13843664,4.647188837,50.62115786,53.33254328,7/2/2022,1358,1449,1703,2019,2435,2956,3096,3146,3303,3260,3415,2855,0.218199419,-0.016671628,0.156600858,0.448581905,1127,0.847328244,-1268877.255,0.327267447,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.606645692
7/6/2022,187,3,1,-20.446424,-54.83924633,G2,1,49.98446571,4.742428542,3058.666667,74.70552854,53.63238618,5.006476461,47.12037117,52.63032405,7/2/2022,1318,1422,1664,1986,2381,2861,3025,3060,3156,3194,3323,2834,0.212841855,-0.025775583,0.150619306,0.42694065,1074,0.838942308,-1152285.914,0.31923115,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.703806183
7/6/2022,187,3,2,-20.446424,-54.83924633,G2,1,50.04041809,4.718451205,305.8666667,74.56672559,44.1068184,4.908830785,54.54078847,52.68821875,7/2/2022,1318,1422,1664,1986,2381,2861,3025,3060,3156,3194,3323,2834,0.212841855,-0.025775583,0.150619306,0.42694065,1074,0.838942308,-1152285.914,0.31923115,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.103806183
7/6/2022,187,4,1,-20.44633333,-54.83876267,G3,1,49.7744236,8.110455464,2191,71.50809667,47.59438988,5.873590871,51.82397028,53.96397288,7/2/2022,1314,1451,1672,1983,2391,2897,3041,3083,3147,3184,3344,2833,0.217133833,-0.030349715,0.154128975,0.439638632,1100,0.843899522,-1208778.786,0.325668608,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.306080931
7/6/2022,187,4,2,-20.44633333,-54.83876267,G3,1,49.57275753,7.907331347,2191,72.43485846,57.47071321,5.785925335,44.13031441,53.57742054,7/2/2022,1314,1451,1672,1983,2391,2897,3041,3083,3147,3184,3344,2833,0.217133833,-0.030349715,0.154128975,0.439638632,1100,0.843899522,-1208778.786,0.325668608,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.306080931
7/6/2022,187,5,1,-20.446437,-54.839261,Q2,1,51.6588715,4.611986283,2953.833333,71.96227175,49.87983449,4.811648506,50.04360893,53.77453645,7/2/2022,1318,1422,1664,1986,2381,2861,3025,3060,3156,3194,3323,2834,0.212841855,-0.025775583,0.150619306,0.42694065,1074,0.838942308,-1152285.914,0.31923115,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.103806183
7/6/2022,187,5,2,-20.446437,-54.839261,Q2,1,51.87154044,4.633134431,2953.833333,79.75730907,53.19955389,4.724163988,47.45754752,50.52322639,7/2/2022,1318,1422,1664,1986,2381,2861,3025,3060,3156,3194,3323,2834,0.212841855,-0.025775583,0.150619306,0.42694065,1074,0.838942308,-1152285.914,0.31923115,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.203806183
7/6/2022,187,6,1,-20.44631867,-54.83876433,Q3,1,55.68296892,8.2262448,2878.666667,72.39205919,49.97751875,5.569296814,49.96751289,53.59527211,7/2/2022,1314,1451,1672,1983,2391,2897,3041,3083,3147,3184,3344,2833,0.217133833,-0.030349715,0.154128975,0.439638632,1100,0.843899522,-1208778.786,0.325668608,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.406080931
7/6/2022,187,6,2,-20.44631867,-54.83876433,Q3,1,55.89626885,7.918540767,2878.666667,71.04589458,48.45941248,5.495982242,51.15011768,54.15675737,7/2/2022,1314,1451,1672,1983,2391,2897,3041,3083,3147,3184,3344,2833,0.217133833,-0.030349715,0.154128975,0.439638632,1100,0.843899522,-1208778.786,0.325668608,30.7,19.2,16.17,0,21.8,4.96,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.206080931
7/6/2022,187,7,1,-20.446936,-54.83930267,S1,0,56.28942269,5.652151576,8023.333333,84.49138947,63.13250333,2.184244027,39.71977991,48.54864145,7/2/2022,1355,1500,1809,2026,2431,3068,3307,3374,3570,3322,3452,2703,0.24962963,0.016804329,0.184795245,0.550589195,1348,0.86511885,-1815585.956,0.374409777,30.7,19.2,16.17,0,21.8,4.95,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.223303704
7/6/2022,187,7,2,-20.446936,-54.83930267,S1,0,56.20954972,5.528057618,8023.333333,83.34108473,62.84703114,2.097922179,39.94216274,49.02843356,7/2/2022,1355,1500,1809,2026,2431,3068,3307,3374,3570,3322,3452,2703,0.24962963,0.016804329,0.184795245,0.550589195,1348,0.86511885,-1815585.956,0.374409777,30.7,19.2,16.17,0,21.8,4.95,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.623303704
7/6/2022,187,8,1,-20.447077,-54.83926867,S2,0,48.88833851,6.720742792,12785.66667,83.16586848,56.36705207,2.51860294,44.99006643,49.10151626,7/2/2022,1367,1529,1829,2068,2449,3054,3331,3366,3564,3348,3499,2710,0.238866397,0.009202888,0.177039914,0.52253041,1298,0.840349918,-1683349.183,0.35826663,30.7,19.2,16.17,0,21.8,4.95,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,3.41759919
7/6/2022,187,8,2,-20.447077,-54.83926867,S2,0,48.73622966,7.07906599,12785.66667,79.37613687,55.53414403,2.517344268,45.6389018,50.68221331,7/2/2022,1367,1529,1829,2068,2449,3054,3331,3366,3564,3348,3499,2710,0.238866397,0.009202888,0.177039914,0.52253041,1298,0.840349918,-1683349.183,0.35826663,30.7,19.2,16.17,0,21.8,4.95,1014.941667,47.45833333,23.18782604,119.9171707,8.584027778,160.6174161,7.444172718,358.8375036,344.2124872,4.31759919
7/21/2022,202,9,1,-20.44655467,-54.83886967,Q3,1,53.49516525,6.749150453,2889.666667,73.99008362,49.82707801,4.0750374,50.08470623,52.92873612,7/7/2022,1319,1353,1639,2048,2432,2903,3072,3049,3165,3270,3269,2764,0.196390033,-0.016164128,0.13930484,0.38600491,1001,0.860280659,-1000899.919,0.294556155,29.8,18.2,16.33,0,19.6,4.84,1015.320833,41.75,25.07583757,85.66676161,8.846527778,196.5115185,11.33612513,398.8596708,356.2537132,3.278086717
7/21/2022,202,9,2,-20.44655467,-54.83886967,Q3,1,53.96302512,6.759126118,2889.666667,73.15397033,47.40110581,3.905531235,51.97453858,53.27747898,7/7/2022,1319,1353,1639,2048,2432,2903,3072,3049,3165,3270,3269,2764,0.196390033,-0.016164128,0.13930484,0.38600491,1001,0.860280659,-1000899.919,0.294556155,29.8,18.2,16.33,0,19.6,4.84,1015.320833,41.75,25.07583757,85.66676161,8.846527778,196.5115185,11.33612513,398.8596708,356.2537132,4.178086717
7/21/2022,202,10,1,-20.44708367,-54.83894367,Q1,1,56.72280841,6.919964488,1721.666667,75.49874531,49.37734223,4.748523275,50.4350504,52.29947333,7/7/2022,1360,1431,1731,2081,2600,3140,3274,3368,3507,3370,3480,2849,0.236190127,0.003864319,0.175222193,0.515953895,1287,0.945696129,-1654928.22,0.354252684,29.8,18.2,16.33,0,19.6,4.84,1015.320833,41.75,25.07583757,85.66676161,8.846527778,196.5115185,11.33612513,398.8596708,356.2537132,3.299180767
